Created file at epoch: 1136
(Timestamp: 1155) Temperature Readings: [25.48, 24.84, -27.10, 26.13, 26.13, -26.77, 25.16, -22.58], Solar Cell 1: [Voltage: 0.63V, Current: 71.83mA], Solar Cell 2: [Voltage: 3.43V, Current: 6.53mA]
(Timestamp: 1672) Temperature Readings: [19.68, 19.03, 34.19, 20.00, 19.68, 30.32, 19.68, 30.97], Solar Cell 1: [Voltage: 0.66V, Current: 77.71mA], Solar Cell 2: [Voltage: 3.45V, Current: 6.86mA]
(Timestamp: 2183) Temperature Readings: [19.68, 19.03, 33.87, 20.00, 19.68, 32.26, 19.68, 31.94], Solar Cell 1: [Voltage: 0.66V, Current: 77.71mA], Solar Cell 2: [Voltage: 3.45V, Current: 6.53mA]
(Timestamp: 2694) Temperature Readings: [19.68, 19.03, 33.55, 20.00, 20.00, 32.26, 19.68, 31.29], Solar Cell 1: [Voltage: 0.71V, Current: 83.26mA], Solar Cell 2: [Voltage: 3.46V, Current: 6.86mA]
(Timestamp: 3205) Temperature Readings: [19.68, 19.03, 33.55, 20.00, 20.00, 31.94, 20.00, 31.61], Solar Cell 1: [Voltage: 0.70V, Current: 82.93mA], Solar Cell 2: [Voltage: 3.46V, Current: 6.86mA]
(Timestamp: 3716) Temperature Readings: [19.68, 18.71, 33.55, 20.00, 20.00, 31.61, 19.68, 31.29], Solar Cell 1: [Voltage: 0.72V, Current: 85.54mA], Solar Cell 2: [Voltage: 3.44V, Current: 6.53mA]
(Timestamp: 4229) Temperature Readings: [19.68, 19.68, 33.23, 20.32, 20.97, 31.61, 19.68, 30.97], Solar Cell 1: [Voltage: 0.75V, Current: 88.48mA], Solar Cell 2: [Voltage: 3.45V, Current: 6.53mA]
(Timestamp: 4742) Temperature Readings: [19.68, 19.35, 32.90, 20.32, 20.97, 31.61, 20.00, 31.29], Solar Cell 1: [Voltage: 0.71V, Current: 84.56mA], Solar Cell 2: [Voltage: 3.48V, Current: 6.53mA]
(Timestamp: 5255) Temperature Readings: [19.68, 19.03, 32.90, 20.00, 20.32, 30.97, 19.68, 30.65], Solar Cell 1: [Voltage: 0.65V, Current: 77.38mA], Solar Cell 2: [Voltage: 3.52V, Current: 6.86mA]
(Timestamp: 5769) Temperature Readings: [19.68, 19.03, 32.90, 20.00, 20.00, 31.29, 19.68, 30.65], Solar Cell 1: [Voltage: 0.57V, Current: 68.56mA], Solar Cell 2: [Voltage: 3.54V, Current: 6.86mA]
(Timestamp: 6283) Temperature Readings: [19.68, 19.03, 32.58, 20.00, 20.32, 30.97, 19.68, 30.32], Solar Cell 1: [Voltage: 0.60V, Current: 72.81mA], Solar Cell 2: [Voltage: 3.52V, Current: 6.86mA]
